,stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed
0,,"24,972 Ratings ",23% off,"₹18,790",Whirlpool,5,8 kg,740 rpm
1,,"11,841 Ratings ",39% off,"₹15,490",Panasonic,5,7 kg,700 rpm
2,,"24,972 Ratings ",24% off,"₹14,590",Whirlpool,5,7 kg,740 rpm
3,,"22,205 Ratings ",25% off,"₹12,890",Whirlpool,5,8.5 kg,1400 rpm
4,,"37,103 Ratings ",19% off,"₹11,490",LG,5,7 kg,1350 rpm
5,,"25,546 Ratings ",41% off,"₹11,790",realme TechLife,5,7.5 kg,700 rpm
6,,"69,163 Ratings ",36% off,"₹7,890",realme TechLife,5,7 kg,1400 RPM
7,,"3,235 Ratings ",28% off,"₹9,990",Godrej,5,7 kg,1400 rpm
8,4.3,"20,325 Ratings ",24% off,"₹17,990",IFB,5,7 kg,720 RPM
9,,"73,103 Ratings ",20% off,"₹17,990",SAMSUNG,5,7 kg,700 rpm
10,,"24,972 Ratings ",24% off,"₹17,539",Whirlpool,5,7.5 kg,740 rpm
11,,346 Ratings ,40% off,"₹22,790",Godrej,5,6 kg,1000 rpm
12,,"2,228 Ratings ",50% off,"₹10,990",realme TechLife,5,7 kg,700 rpm
13,,"5,438 Ratings ",48% off,"₹13,990",Godrej,5,7 kg,720 rpm
14,,"73,103 Ratings ",25% off,"₹19,990",SAMSUNG,5,8 kg,700 rpm
15,,"69,163 Ratings ",42% off,"₹7,990",realme TechLife,5,7.5 kg,1400 RPM
16,,"11,841 Ratings ",16% off,"₹13,990",Panasonic,4,6 kg,680 rpm
17,,"11,841 Ratings ",38% off,"₹14,490",Panasonic,5,6.5 kg,700 rpm
18,,"10,241 Ratings ",45% off,"₹10,990",Voltas Beko,5,8.5 kg,1350 rpm
19,,"21,763 Ratings ",43% off,"₹6,790",MarQ by Flipkart,5,6 kg,1350 rpm
20,,"14,542 Ratings ",23% off,"₹16,590",Whirlpool,5,7 kg,740 RPM
21,,"24,972 Ratings ",24% off,"₹22,990",Whirlpool,5,9 kg,740 rpm
22,,"67,749 Ratings ",36% off,"₹18,990",LG,5,8 kg,700 rpm
23,,"84,073 Ratings ",26% off,"₹33,990",IFB,5,8 kg,1200 RPM
24,,"24,972 Ratings ",24% off,"₹22,990",Whirlpool,5,9 kg,740 rpm
25,,"22,205 Ratings ",29% off,"₹8,990",Whirlpool,5,6.5 kg,1400 rpm
26,,"23,378 Ratings ",28% off,"₹35,990",LG,5,8 kg,1200 rpm
27,,"37,218 Ratings ",22% off,"₹9,690",SAMSUNG,5,6.5 kg,1350 rpm
28,,"84,073 Ratings ",22% off,"₹37,990",IFB,5,9 kg,1400 RPM
29,,"5,443 Ratings ",41% off,"₹13,490",MOTOROLA,5,14 kg,1350 rpm
30,,,27% off,"₹14,490",LG,5,8.5 kg,1300 rpm
31,,"11,841 Ratings ",39% off,"₹15,490",Panasonic,5,7 kg,700 rpm
32,,"51,640 Ratings ",44% off,"₹7,190",MarQ by Flipkart,5,6.5 kg,1350 rpm
33,,"22,205 Ratings ",26% off,"₹13,890",Whirlpool,5,9 kg,1400 rpm
34,,"1,627 Ratings ",42% off,"₹19,990",MOTOROLA,5,7 kg,1000 rpm
35,,"67,749 Ratings ",34% off,"₹16,490",LG,5,6.5 kg,700 rpm
36,,"37,218 Ratings ",22% off,"₹12,190",SAMSUNG,5,7.5 Kg,1300 rpm
37,,"1,627 Ratings ",43% off,"₹22,790",MOTOROLA,5,8 kg,1400 rpm
38,,"14,728 Ratings ",30% off,"₹37,990",SAMSUNG,5,9 kg,1400 rpm
39,,"20,325 Ratings ",24% off,"₹16,990",IFB,5,6.5 kg,720 RPM
40,,"84,073 Ratings ",20% off,"₹28,990",IFB,5,7 kg,1200 RPM
41,,"1,711 Ratings ",34% off,"₹36,900",BOSCH,5,9 kg,1200 rpm
42,,"21,344 Ratings ",24% off,"₹15,990",Whirlpool,5,7.5 kg,740 rpm
43,,"37,103 Ratings ",31% off,"₹9,990",LG,5,6 kg,1300 rpm
44,,"15,824 Ratings ",27% off,"₹7,590",Thomson,5,7 kg,1400 rpm
45,,"37,218 Ratings ",14% off,"₹13,690",SAMSUNG,5,8 kg,1300 RPM
46,,"73,103 Ratings ",14% off,"₹25,990",SAMSUNG,5,9 kg,700 rpm
47,,"4,754 Ratings ",15% off,"₹18,990",LG,5,11 kg,1300 rpm
48,,"67,749 Ratings ",27% off,"₹18,490",LG,5,7.5 kg,700 rpm
49,,"29,535 Ratings ",40% off,"₹17,990",Haier,5,8 kg,800 rpm
50,,"10,241 Ratings ",32% off,"₹16,490",Voltas Beko,5,14 kg,1350 rpm
51,,"69,163 Ratings ",44% off,"₹9,690",realme TechLife,5,8 kg,1400 RPM
52,,"25,546 Ratings ",51% off,"₹13,990",realme TechLife,5,8 kg,700 RPM
53,,"37,218 Ratings ",19% off,"₹11,390",SAMSUNG,5,7 kg,1350 rpm
54,,"37,218 Ratings ",2% off,"₹16,990",SAMSUNG,5,8.5 kg,1300 rpm
55,,"2,102 Ratings ",23% off,"₹24,999",Whirlpool,5,9.5 kg,740 rpm
57,,"10,238 Ratings ",30% off,"₹9,440",ONIDA,5,8 kg,1450 rpm
58,,332 Ratings ,26% off,"₹25,990",Whirlpool,5,7 kg,1000 RPM
59,,719 Ratings ,56% off,"₹19,990",Voltas Beko,5,10 kg,700 rpm
60,,"23,378 Ratings ",28% off,"₹34,990",LG,5,8 kg,1400 rpm
61,,"1,016 Ratings ",29% off,"₹32,990",Haier,5,8 kg,1200 rpm
62,,"61,864 Ratings ",9% off,"₹29,490",SAMSUNG,5,10 kg,700 RPM
64,,346 Ratings ,46% off,"₹24,990",Godrej,5,7 kg,1000 rpm
65,,"1,841 Ratings ",29% off,"₹8,689",Voltas Beko,5,7 kg,1350 RPM
66,,"21,344 Ratings ",23% off,"₹14,590",Whirlpool,5,7 kg,740 rpm
67,,"5,443 Ratings ",39% off,"₹8,190",MOTOROLA,5,7 kg,1350 rpm
68,,"5,443 Ratings ",40% off,"₹10,190",MOTOROLA,5,8.5 kg,1350 rpm
69,,"84,073 Ratings ",27% off,"₹45,590",IFB,5,10 kg,1400 RPM
70,,"2,131 Ratings ",30% off,"₹14,990",Haier,5,9 kg,1300 rpm
71,,460 Ratings ,21% off,"₹30,990",Whirlpool,5,8 kg,1400 RPM
72,,"10,241 Ratings ",50% off,"₹11,290",Voltas Beko,5,8.5 kg,1350 rpm
73,,584 Ratings ,35% off,"₹19,290",Haier,5,8 kg,800 rpm
74,,"18,767 Ratings ",23% off,"₹21,490",SAMSUNG,5,8 kg,700 rpm
75,,"1,482 Ratings ",33% off,"₹18,050",Whirlpool,5,7.5 kg,740 rpm
76,,801 Ratings ,45% off,"₹12,990",Voltas Beko,5,6.5 kg,700 rpm
77,,"84,073 Ratings ",16% off,"₹25,990",IFB,5,6.5 kg,1000 rpm
78,,"15,824 Ratings ",28% off,"₹8,999",Thomson,5,8.5 kg,1400 RPM
79,,"1,841 Ratings ",33% off,"₹8,659",Voltas Beko,5,7 kg,1350 RPM
80,,"51,640 Ratings ",45% off,"₹9,790",MarQ by Flipkart,5,9 kg,1350 rpm
81,,"1,841 Ratings ",21% off,"₹9,399",Voltas Beko,5,7 kg,1350 RPM
82,,"2,535 Ratings ",50% off,"₹12,399",Voltas Beko,5,9 kg,1350 rpm
83,,"5,222 Ratings ",30% off,"₹13,990",LG,5,8 kg,1300 rpm
84,,"1,841 Ratings ",29% off,"₹9,190",Voltas Beko,5,7 kg,1350 RPM
85,,"84,073 Ratings ",19% off,"₹29,990",IFB,5,7 kg,1200 RPM
86,,"84,073 Ratings ",26% off,"₹34,490",IFB,5,8 kg,1200 rpm
87,,"2,428 Ratings ",33% off,"₹8,990",Lloyd,5,6.5 kg,1400 rpm
88,,"73,103 Ratings ",28% off,"₹23,334",SAMSUNG,5,10 kg,700 rpm
89,,"2,428 Ratings ",32% off,"₹11,548",Lloyd,5,7.5 kg,1300 rpm
90,,"1,569 Ratings ",47% off,"₹11,490",MOTOROLA,5,7 kg,700 rpm
91,,"3,085 Ratings ",20% off,"₹13,690",Whirlpool,5,9 kg,1400 rpm
92,,"37,218 Ratings ",13% off,"₹17,990",SAMSUNG,5,9 kg,1300 rpm
93,,526 Ratings ,22% off,"₹21,800",IFB,5,5.5 Kg,Yes
94,,"2,131 Ratings ",33% off,"₹10,290",Haier,5,7 kg,1300 RPM
95,,"4,146 Ratings ",26% off,"₹13,999",Thomson,5,9 kg,900 rpm
